Pix_x	Pix_y	GLat(deg)	GLong(deg)	T(K)
18	27	0.28971	105.58808	16.28
19	27	0.28971	105.58530	16.06
20	27	0.28971	105.58253	15.92
21	27	0.28971	105.57975	15.86
22	27	0.28971	105.57697	15.80
23	27	0.28971	105.57419	15.75
24	27	0.28971	105.57142	15.73
25	27	0.28971	105.56864	15.61
26	27	0.28971	105.56586	15.35
27	27	0.28971	105.56308	15.18
28	27	0.28971	105.56030	15.14
29	27	0.28971	105.55753	14.93
30	27	0.28971	105.55475	14.89
31	27	0.28971	105.55197	14.98
32	27	0.28971	105.54919	15.15
33	27	0.28971	105.54642	15.49
34	27	0.28971	105.54364	15.58
35	27	0.28971	105.54086	15.36
36	27	0.28971	105.53808	15.24
37	27	0.28971	105.53530	15.19
38	27	0.28971	105.53253	15.31
39	27	0.28971	105.52975	15.48
40	27	0.28971	105.52697	15.43
41	27	0.28971	105.52419	15.31
42	27	0.28971	105.52141	15.22
43	27	0.28971	105.51864	15.02
44	27	0.28971	105.51586	14.78
45	27	0.28971	105.51308	14.29
46	27	0.28971	105.51030	14.44
47	27	0.28971	105.50753	15.09
48	27	0.28971	105.50475	15.14
49	27	0.28971	105.50197	15.01
0	28	0.29248	105.63808	16.08
1	28	0.29248	105.63531	16.09
2	28	0.29248	105.63253	15.95
3	28	0.29248	105.62975	16.20
4	28	0.29248	105.62697	16.36
5	28	0.29248	105.62419	16.07
6	28	0.29248	105.62142	16.01
7	28	0.29248	105.61864	16.50
8	28	0.29248	105.61586	16.61
9	28	0.29248	105.61308	16.76
10	28	0.29248	105.61030	17.26
11	28	0.29248	105.60753	17.23
12	28	0.29248	105.60475	16.81
13	28	0.29248	105.60197	16.74
14	28	0.29248	105.59919	16.67
15	28	0.29248	105.59642	16.65
16	28	0.29248	105.59364	16.63
17	28	0.29248	105.59086	16.53
18	28	0.29248	105.58808	16.41
19	28	0.29248	105.58530	16.24
20	28	0.29248	105.58253	16.11
21	28	0.29248	105.57975	16.06
22	28	0.29248	105.57697	15.98
23	28	0.29248	105.57419	15.87
24	28	0.29248	105.57142	15.77
25	28	0.29248	105.56864	15.58
26	28	0.29248	105.56586	15.35
27	28	0.29248	105.56308	15.16
28	28	0.29248	105.56030	15.06
29	28	0.29248	105.55753	14.97
30	28	0.29248	105.55475	14.95
31	28	0.29248	105.55197	15.06
32	28	0.29248	105.54919	15.35
33	28	0.29248	105.54642	15.58
34	28	0.29248	105.54364	15.47
35	28	0.29248	105.54086	15.34
36	28	0.29248	105.53808	15.29
37	28	0.29248	105.53530	15.31
38	28	0.29248	105.53253	15.45
39	28	0.29248	105.52975	15.78
40	28	0.29248	105.52697	15.63
41	28	0.29248	105.52419	15.27
42	28	0.29248	105.52141	15.04
43	28	0.29248	105.51864	14.80
44	28	0.29248	105.51586	14.56
45	28	0.29248	105.51308	14.18
46	28	0.29248	105.51030	14.48
47	28	0.29248	105.50753	15.08
48	28	0.29248	105.50475	15.10
49	28	0.29248	105.50197	15.00
0	29	0.29526	105.63808	16.17
1	29	0.29526	105.63531	16.18
2	29	0.29526	105.63253	15.97
3	29	0.29526	105.62975	16.04
4	29	0.29526	105.62697	16.12
5	29	0.29526	105.62419	16.00
6	29	0.29526	105.62142	16.12
7	29	0.29526	105.61864	16.54
8	29	0.29526	105.61586	16.58
9	29	0.29526	105.61308	16.77
10	29	0.29526	105.61030	17.69
11	29	0.29526	105.60753	17.70
12	29	0.29526	105.60475	17.00
13	29	0.29526	105.60197	17.05
14	29	0.29526	105.59919	17.02
15	29	0.29526	105.59642	16.83
16	29	0.29526	105.59364	16.69
17	29	0.29526	105.59086	16.62
18	29	0.29526	105.58808	16.62
19	29	0.29526	105.58530	16.50
20	29	0.29526	105.58253	16.34
21	29	0.29526	105.57975	16.32
22	29	0.29526	105.57697	16.25
23	29	0.29526	105.57419	16.05
24	29	0.29526	105.57142	15.76
25	29	0.29526	105.56864	15.51
26	29	0.29526	105.56586	15.32
27	29	0.29526	105.56308	15.14
28	29	0.29526	105.56030	15.09
29	29	0.29526	105.55753	15.08
30	29	0.29526	105.55475	15.10
31	29	0.29526	105.55197	15.36
32	29	0.29526	105.54919	15.75
33	29	0.29526	105.54642	15.66
34	29	0.29526	105.54364	15.50
35	29	0.29526	105.54086	15.48
36	29	0.29526	105.53808	15.39
37	29	0.29526	105.53530	15.41
38	29	0.29526	105.53253	15.57
39	29	0.29526	105.52975	15.80
40	29	0.29526	105.52697	15.59
41	29	0.29526	105.52419	15.22
42	29	0.29526	105.52141	14.93
43	29	0.29526	105.51864	14.66
44	29	0.29526	105.51586	14.45
45	29	0.29526	105.51308	14.18
46	29	0.29526	105.51030	14.44
47	29	0.29526	105.50753	14.96
48	29	0.29526	105.50475	15.01
49	29	0.29526	105.50197	14.96
0	30	0.29804	105.63808	16.16
1	30	0.29804	105.63531	16.15
2	30	0.29804	105.63253	16.02
3	30	0.29804	105.62975	16.01
4	30	0.29804	105.62697	16.02
5	30	0.29804	105.62419	16.02
6	30	0.29804	105.62142	16.33
7	30	0.29804	105.61864	16.59
8	30	0.29804	105.61586	16.54
9	30	0.29804	105.61308	16.74
10	30	0.29804	105.61030	17.60
11	30	0.29804	105.60753	17.71
12	30	0.29804	105.60475	17.48
13	30	0.29804	105.60197	17.74
14	30	0.29804	105.59919	17.40
15	30	0.29804	105.59642	16.96
16	30	0.29804	105.59364	16.77
17	30	0.29804	105.59086	16.74
18	30	0.29804	105.58808	16.78
19	30	0.29804	105.58530	16.69
20	30	0.29804	105.58253	16.46
21	30	0.29804	105.57975	16.45
22	30	0.29804	105.57697	16.34
23	30	0.29804	105.57419	16.06
24	30	0.29804	105.57142	15.87
25	30	0.29804	105.56864	15.57
26	30	0.29804	105.56586	15.38
27	30	0.29804	105.56308	15.25
28	30	0.29804	105.56030	15.21
29	30	0.29804	105.55753	15.19
30	30	0.29804	105.55475	15.32
31	30	0.29804	105.55197	15.63
32	30	0.29804	105.54919	15.91
33	30	0.29804	105.54642	15.69
34	30	0.29804	105.54364	15.53
35	30	0.29804	105.54086	15.54
36	30	0.29804	105.53808	15.52
37	30	0.29804	105.53530	15.66
38	30	0.29804	105.53253	15.84
39	30	0.29804	105.52975	15.81
40	30	0.29804	105.52697	15.41
41	30	0.29804	105.52419	14.98
42	30	0.29804	105.52141	14.78
43	30	0.29804	105.51864	14.50
44	30	0.29804	105.51586	14.29
45	30	0.29804	105.51308	14.16
46	30	0.29804	105.51030	14.40
47	30	0.29804	105.50753	14.83
48	30	0.29804	105.50475	14.90
49	30	0.29804	105.50197	14.89
0	31	0.30082	105.63808	16.25
1	31	0.30082	105.63531	16.18
2	31	0.30082	105.63253	16.11
3	31	0.30082	105.62975	16.17
4	31	0.30082	105.62697	16.17
5	31	0.30082	105.62419	16.25
6	31	0.30082	105.62142	16.69
7	31	0.30082	105.61864	16.73
8	31	0.30082	105.61586	16.66
9	31	0.30082	105.61308	17.01
10	31	0.30082	105.61030	17.51
11	31	0.30082	105.60753	17.67
12	31	0.30082	105.60475	17.87
13	31	0.30082	105.60197	17.88
14	31	0.30082	105.59919	17.41
15	31	0.30082	105.59642	17.04
16	31	0.30082	105.59364	16.94
17	31	0.30082	105.59086	16.89
18	31	0.30082	105.58808	16.77
19	31	0.30082	105.58530	16.66
20	31	0.30082	105.58253	16.48
21	31	0.30082	105.57975	16.36
22	31	0.30082	105.57697	16.26
23	31	0.30082	105.57419	16.06
24	31	0.30082	105.57142	16.04
25	31	0.30082	105.56864	15.85
26	31	0.30082	105.56586	15.66
27	31	0.30082	105.56308	15.50
28	31	0.30082	105.56030	15.42
29	31	0.30082	105.55753	15.46
30	31	0.30082	105.55475	15.56
31	31	0.30082	105.55197	15.61
32	31	0.30082	105.54919	15.82
33	31	0.30082	105.54642	15.91
34	31	0.30082	105.54364	15.76
35	31	0.30082	105.54086	15.66
36	31	0.30082	105.53808	15.60
37	31	0.30082	105.53530	15.87
38	31	0.30082	105.53253	15.85
39	31	0.30082	105.52975	15.59
40	31	0.30082	105.52697	15.14
41	31	0.30082	105.52419	14.84
42	31	0.30082	105.52141	15.36
43	31	0.30082	105.51864	14.87
44	31	0.30082	105.51586	14.13
45	31	0.30082	105.51308	14.01
46	31	0.30082	105.51030	14.28
47	31	0.30082	105.50753	14.65
48	31	0.30082	105.50475	14.73
49	31	0.30082	105.50197	14.74
0	32	0.30359	105.63808	16.44
1	32	0.30359	105.63531	16.36
2	32	0.30359	105.63253	16.27
3	32	0.30359	105.62975	16.28
4	32	0.30359	105.62697	16.28
5	32	0.30359	105.62419	16.50
6	32	0.30359	105.62142	16.91
7	32	0.30359	105.61864	16.82
8	32	0.30359	105.61586	16.87
9	32	0.30359	105.61308	17.38
10	32	0.30359	105.61031	17.79
11	32	0.30359	105.60753	18.08
12	32	0.30359	105.60475	17.91
13	32	0.30359	105.60197	17.54
14	32	0.30359	105.59919	17.19
15	32	0.30359	105.59642	17.03
16	32	0.30359	105.59364	16.95
17	32	0.30359	105.59086	16.87
18	32	0.30359	105.58808	16.74
19	32	0.30359	105.58530	16.68
20	32	0.30359	105.58253	16.57
21	32	0.30359	105.57975	16.37
22	32	0.30359	105.57697	16.23
23	32	0.30359	105.57419	16.10
24	32	0.30359	105.57142	16.10
25	32	0.30359	105.56864	15.98
26	32	0.30359	105.56586	15.82
27	32	0.30359	105.56308	15.72
28	32	0.30359	105.56030	15.73
29	32	0.30359	105.55753	15.76
30	32	0.30359	105.55475	15.68
31	32	0.30359	105.55197	15.70
32	32	0.30359	105.54919	15.96
33	32	0.30359	105.54642	15.93
34	32	0.30359	105.54364	15.76
35	32	0.30359	105.54086	15.74
36	32	0.30359	105.53808	15.69
37	32	0.30359	105.53530	15.89
38	32	0.30359	105.53253	15.65
39	32	0.30359	105.52975	15.30
40	32	0.30359	105.52697	14.98
41	32	0.30359	105.52419	14.66
42	32	0.30359	105.52141	14.95
43	32	0.30359	105.51864	14.66
44	32	0.30359	105.51586	14.16
45	32	0.30359	105.51308	14.02
46	32	0.30359	105.51030	14.21
47	32	0.30359	105.50753	14.56
48	32	0.30359	105.50475	14.69
49	32	0.30359	105.50197	14.75
0	33	0.30637	105.63808	16.53
1	33	0.30637	105.63531	16.56
2	33	0.30637	105.63253	16.59
3	33	0.30637	105.62975	16.51
4	33	0.30637	105.62697	16.39
5	33	0.30637	105.62419	16.60
6	33	0.30637	105.62142	16.95
7	33	0.30637	105.61864	17.00
8	33	0.30637	105.61586	17.17
9	33	0.30637	105.61308	17.46
10	33	0.30637	105.61031	18.02
11	33	0.30637	105.60753	18.50
12	33	0.30637	105.60475	17.83
13	33	0.30637	105.60197	17.28
14	33	0.30637	105.59919	17.06
15	33	0.30637	105.59642	16.99
16	33	0.30637	105.59364	16.95
17	33	0.30637	105.59086	16.86
18	33	0.30637	105.58808	16.80
19	33	0.30637	105.58530	16.79
20	33	0.30637	105.58253	16.61
21	33	0.30637	105.57975	16.40
22	33	0.30637	105.57697	16.31
23	33	0.30637	105.57419	16.15
24	33	0.30637	105.57142	16.06
25	33	0.30637	105.56864	15.97
26	33	0.30637	105.56586	15.84
27	33	0.30637	105.56308	15.81
28	33	0.30637	105.56030	15.79
29	33	0.30637	105.55753	15.84
30	33	0.30637	105.55475	15.78
31	33	0.30637	105.55197	16.11
32	33	0.30637	105.54919	16.18
33	33	0.30637	105.54642	15.77
34	33	0.30637	105.54364	15.59
35	33	0.30637	105.54086	15.75
36	33	0.30637	105.53808	15.98
37	33	0.30637	105.53530	15.98
38	33	0.30637	105.53253	15.60
39	33	0.30637	105.52975	15.18
40	33	0.30637	105.52697	14.90
41	33	0.30637	105.52419	14.50
42	33	0.30637	105.52141	14.15
43	33	0.30637	105.51864	14.05
44	33	0.30637	105.51586	14.00
45	33	0.30637	105.51308	13.96
46	33	0.30637	105.51030	14.17
47	33	0.30637	105.50753	14.49
48	33	0.30637	105.50475	14.59
49	33	0.30637	105.50197	14.71
0	34	0.30915	105.63808	16.62
1	34	0.30915	105.63531	16.71
2	34	0.30915	105.63253	16.91
3	34	0.30915	105.62975	16.68
4	34	0.30915	105.62697	16.39
5	34	0.30915	105.62419	16.58
6	34	0.30915	105.62142	16.93
7	34	0.30915	105.61864	17.24
8	34	0.30915	105.61586	17.57
9	34	0.30915	105.61308	17.55
10	34	0.30915	105.61031	17.67
11	34	0.30915	105.60753	17.82
12	34	0.30915	105.60475	17.42
13	34	0.30915	105.60197	17.08
14	34	0.30915	105.59919	16.90
15	34	0.30915	105.59642	16.93
16	34	0.30915	105.59364	16.96
17	34	0.30915	105.59086	16.95
18	34	0.30915	105.58808	16.94
19	34	0.30915	105.58530	16.80
20	34	0.30915	105.58253	16.54
21	34	0.30915	105.57975	16.40
22	34	0.30915	105.57697	16.36
23	34	0.30915	105.57419	16.18
24	34	0.30915	105.57142	16.00
25	34	0.30915	105.56864	16.01
26	34	0.30915	105.56586	15.92
27	34	0.30915	105.56308	15.85
28	34	0.30915	105.56030	15.82
29	34	0.30915	105.55753	15.87
30	34	0.30915	105.55475	16.07
31	34	0.30915	105.55197	16.31
32	34	0.30915	105.54919	16.13
33	34	0.30915	105.54642	15.75
34	34	0.30915	105.54364	15.61
35	34	0.30915	105.54086	15.66
36	34	0.30915	105.53808	15.89
37	34	0.30915	105.53530	15.80
38	34	0.30915	105.53253	15.40
39	34	0.30915	105.52975	15.06
40	34	0.30915	105.52697	14.77
41	34	0.30915	105.52419	14.47
42	34	0.30915	105.52141	14.16
43	34	0.30915	105.51864	13.92
44	34	0.30915	105.51586	13.84
45	34	0.30915	105.51308	13.85
46	34	0.30915	105.51030	14.11
47	34	0.30915	105.50753	14.43
48	34	0.30915	105.50475	14.53
49	34	0.30915	105.50197	14.63
0	35	0.31193	105.63808	16.90
1	35	0.31193	105.63531	16.95
2	35	0.31193	105.63253	17.26
3	35	0.31193	105.62975	16.91
4	35	0.31193	105.62697	16.64
5	35	0.31193	105.62419	16.95
6	35	0.31193	105.62142	17.27
7	35	0.31193	105.61864	17.54
8	35	0.31193	105.61586	17.83
9	35	0.31193	105.61308	17.76
10	35	0.31193	105.61031	17.61
11	35	0.31193	105.60753	17.34
12	35	0.31193	105.60475	17.06
13	35	0.31193	105.60197	16.86
14	35	0.31193	105.59919	16.73
15	35	0.31193	105.59642	16.82
16	35	0.31193	105.59364	16.97
17	35	0.31193	105.59086	17.04
18	35	0.31193	105.58808	17.00
19	35	0.31193	105.58530	16.70
20	35	0.31193	105.58253	16.42
21	35	0.31193	105.57975	16.31
22	35	0.31193	105.57697	16.28
23	35	0.31193	105.57419	16.19
24	35	0.31193	105.57142	15.95
25	35	0.31193	105.56864	15.93
26	35	0.31193	105.56586	15.97
27	35	0.31193	105.56308	16.05
28	35	0.31193	105.56030	16.07
29	35	0.31193	105.55753	16.15
30	35	0.31193	105.55475	16.39
31	35	0.31193	105.55197	16.28
32	35	0.31193	105.54919	15.98
33	35	0.31193	105.54642	15.69
34	35	0.31193	105.54364	15.60
35	35	0.31193	105.54086	15.69
36	35	0.31193	105.53808	15.79
37	35	0.31193	105.53530	15.55
38	35	0.31193	105.53253	15.17
39	35	0.31193	105.52975	14.91
40	35	0.31193	105.52697	14.61
41	35	0.31193	105.52419	14.38
42	35	0.31193	105.52141	14.21
43	35	0.31193	105.51864	14.05
44	35	0.31193	105.51586	13.99
45	35	0.31193	105.51308	14.02
46	35	0.31193	105.51030	14.20
47	35	0.31193	105.50753	14.43
48	35	0.31193	105.50475	14.55
49	35	0.31193	105.50197	14.68
0	36	0.31471	105.63808	17.20
1	36	0.31471	105.63531	17.15
2	36	0.31471	105.63253	17.49
3	36	0.31471	105.62975	17.30
4	36	0.31471	105.62697	17.20
5	36	0.31471	105.62419	17.64
6	36	0.31471	105.62142	17.86
7	36	0.31471	105.61864	17.88
8	36	0.31471	105.61586	17.98
9	36	0.31471	105.61308	17.92
10	36	0.31471	105.61031	17.68
11	36	0.31471	105.60753	17.30
12	36	0.31471	105.60475	16.97
13	36	0.31471	105.60197	16.69
14	36	0.31471	105.59919	16.60
15	36	0.31471	105.59642	16.76
16	36	0.31471	105.59364	17.01
17	36	0.31471	105.59086	17.03
18	36	0.31471	105.58808	16.89
19	36	0.31471	105.58530	16.56
20	36	0.31471	105.58253	16.34
21	36	0.31471	105.57975	16.31
22	36	0.31471	105.57697	16.32
23	36	0.31471	105.57419	16.22
24	36	0.31471	105.57142	15.98
25	36	0.31471	105.56864	15.85
26	36	0.31471	105.56586	15.87
27	36	0.31471	105.56308	15.92
28	36	0.31471	105.56030	16.15
29	36	0.31471	105.55753	16.38
30	36	0.31471	105.55475	16.41
31	36	0.31471	105.55197	16.27
32	36	0.31471	105.54919	16.10
33	36	0.31471	105.54642	15.82
34	36	0.31471	105.54364	15.59
35	36	0.31471	105.54086	15.53
36	36	0.31471	105.53808	15.51
37	36	0.31471	105.53530	15.31
38	36	0.31471	105.53253	15.01
39	36	0.31471	105.52975	14.75
40	36	0.31471	105.52697	14.55
41	36	0.31471	105.52419	14.40
42	36	0.31471	105.52141	14.26
43	36	0.31471	105.51864	14.18
44	36	0.31471	105.51586	14.18
45	36	0.31471	105.51308	14.26
46	36	0.31471	105.51030	14.42
47	36	0.31471	105.50753	14.58
48	36	0.31471	105.50475	14.63
49	36	0.31471	105.50197	14.75
0	37	0.31748	105.63808	17.36
1	37	0.31748	105.63531	17.20
2	37	0.31748	105.63253	17.60
3	37	0.31748	105.62975	17.79
4	37	0.31748	105.62697	17.85
5	37	0.31748	105.62419	18.37
6	37	0.31748	105.62142	18.53
7	37	0.31748	105.61864	18.32
8	37	0.31748	105.61586	18.22
9	37	0.31748	105.61308	17.98
10	37	0.31748	105.61031	17.59
11	37	0.31748	105.60753	17.24
12	37	0.31748	105.60475	16.98
13	37	0.31748	105.60197	16.64
14	37	0.31748	105.59919	16.51
15	37	0.31748	105.59642	16.67
16	37	0.31748	105.59364	16.90
17	37	0.31748	105.59086	16.95
18	37	0.31748	105.58808	16.87
19	37	0.31748	105.58530	16.75
20	37	0.31748	105.58253	16.54
21	37	0.31748	105.57975	16.32
22	37	0.31748	105.57697	16.23
23	37	0.31748	105.57419	16.13
24	37	0.31748	105.57142	16.03
25	37	0.31748	105.56864	15.89
26	37	0.31748	105.56586	15.87
27	37	0.31748	105.56308	15.80
28	37	0.31748	105.56030	16.19
29	37	0.31748	105.55753	16.48
30	37	0.31748	105.55475	16.35
31	37	0.31748	105.55197	16.29
32	37	0.31748	105.54919	16.12
33	37	0.31748	105.54642	15.76
34	37	0.31748	105.54364	15.61
35	37	0.31748	105.54086	15.27
36	37	0.31748	105.53808	15.06
37	37	0.31748	105.53530	14.95
38	37	0.31748	105.53253	14.86
39	37	0.31748	105.52975	14.72
40	37	0.31748	105.52697	14.55
41	37	0.31748	105.52419	14.47
42	37	0.31748	105.52141	14.30
43	37	0.31748	105.51864	14.24
44	37	0.31748	105.51586	14.32
45	37	0.31748	105.51308	14.45
46	37	0.31748	105.51030	14.62
47	37	0.31748	105.50753	14.69
48	37	0.31748	105.50475	14.74
49	37	0.31748	105.50197	14.86
0	38	0.32026	105.63808	17.68
1	38	0.32026	105.63531	17.50
2	38	0.32026	105.63253	17.98
3	38	0.32026	105.62975	18.43
4	38	0.32026	105.62697	18.71
5	38	0.32026	105.62419	19.26
6	38	0.32026	105.62142	19.28
7	38	0.32026	105.61864	18.68
8	38	0.32026	105.61586	18.36
9	38	0.32026	105.61308	18.06
10	38	0.32026	105.61031	17.54
11	38	0.32026	105.60753	17.11
12	38	0.32026	105.60475	16.92
13	38	0.32026	105.60197	16.71
14	38	0.32026	105.59919	16.61
15	38	0.32026	105.59642	16.71
16	38	0.32026	105.59364	16.83
17	38	0.32026	105.59086	16.92
18	38	0.32026	105.58808	16.94
19	38	0.32026	105.58530	16.98
20	38	0.32026	105.58253	16.80
21	38	0.32026	105.57975	16.39
22	38	0.32026	105.57697	16.24
23	38	0.32026	105.57419	16.11
24	38	0.32026	105.57142	16.05
25	38	0.32026	105.56864	15.91
26	38	0.32026	105.56586	15.99
27	38	0.32026	105.56308	16.09
28	38	0.32026	105.56030	16.32
29	38	0.32026	105.55753	16.38
30	38	0.32026	105.55475	16.22
31	38	0.32026	105.55197	16.10
32	38	0.32026	105.54919	15.88
33	38	0.32026	105.54642	15.65
34	38	0.32026	105.54364	15.66
35	38	0.32026	105.54086	15.34
36	38	0.32026	105.53808	15.05
37	38	0.32026	105.53530	14.74
38	38	0.32026	105.53253	14.67
39	38	0.32026	105.52975	14.65
40	38	0.32026	105.52697	14.53
41	38	0.32026	105.52419	14.52
42	38	0.32026	105.52141	14.29
43	38	0.32026	105.51864	14.18
44	38	0.32026	105.51586	14.31
45	38	0.32026	105.51308	14.50
46	38	0.32026	105.51030	14.68
47	38	0.32026	105.50753	14.72
48	38	0.32026	105.50475	14.78
49	38	0.32026	105.50197	14.85
0	39	0.32304	105.63808	18.79
1	39	0.32304	105.63531	18.67
2	39	0.32304	105.63253	19.17
3	39	0.32304	105.62975	19.50
4	39	0.32304	105.62697	19.69
5	39	0.32304	105.62419	19.86
6	39	0.32304	105.62142	19.65
7	39	0.32304	105.61864	18.89
8	39	0.32304	105.61586	18.41
9	39	0.32304	105.61308	18.22
10	39	0.32304	105.61031	17.91
11	39	0.32304	105.60753	17.59
12	39	0.32304	105.60475	17.46
13	39	0.32304	105.60197	17.25
14	39	0.32304	105.59919	17.04
15	39	0.32304	105.59642	16.98
16	39	0.32304	105.59364	16.95
17	39	0.32304	105.59086	17.02
18	39	0.32304	105.58808	17.13
19	39	0.32304	105.58530	16.99
20	39	0.32304	105.58253	16.65
21	39	0.32304	105.57975	16.39
22	39	0.32304	105.57697	16.37
23	39	0.32304	105.57419	16.17
24	39	0.32304	105.57142	16.02
25	39	0.32304	105.56864	15.84
26	39	0.32304	105.56586	15.89
27	39	0.32304	105.56308	16.06
28	39	0.32304	105.56030	16.15
29	39	0.32304	105.55753	16.13
30	39	0.32304	105.55475	15.94
31	39	0.32304	105.55197	15.77
32	39	0.32304	105.54919	15.62
33	39	0.32304	105.54642	15.50
34	39	0.32304	105.54364	15.51
35	39	0.32304	105.54086	15.42
36	39	0.32304	105.53808	15.12
37	39	0.32304	105.53530	14.75
38	39	0.32304	105.53253	14.49
39	39	0.32304	105.52975	14.40
40	39	0.32304	105.52697	14.36
41	39	0.32304	105.52419	14.38
42	39	0.32304	105.52141	14.21
43	39	0.32304	105.51864	14.13
44	39	0.32304	105.51586	14.23
45	39	0.32304	105.51308	14.43
46	39	0.32304	105.51030	14.67
47	39	0.32304	105.50753	14.75
48	39	0.32304	105.50475	14.79
49	39	0.32304	105.50197	14.84
0	40	0.32582	105.63808	19.98
1	40	0.32582	105.63531	20.11
2	40	0.32582	105.63253	20.67
3	40	0.32582	105.62975	21.20
4	40	0.32582	105.62697	21.08
5	40	0.32582	105.62419	20.61
6	40	0.32582	105.62142	20.05
7	40	0.32582	105.61864	19.35
8	40	0.32582	105.61586	18.94
9	40	0.32582	105.61308	18.68
10	40	0.32582	105.61031	18.44
11	40	0.32582	105.60753	18.31
12	40	0.32582	105.60475	18.21
13	40	0.32582	105.60197	17.85
14	40	0.32582	105.59919	17.48
15	40	0.32582	105.59642	17.31
16	40	0.32582	105.59364	17.19
17	40	0.32582	105.59086	17.17
18	40	0.32582	105.58808	17.16
19	40	0.32582	105.58530	16.81
20	40	0.32582	105.58253	16.38
21	40	0.32582	105.57975	16.25
22	40	0.32582	105.57697	16.24
23	40	0.32582	105.57419	15.96
24	40	0.32582	105.57142	15.79
25	40	0.32582	105.56864	15.74
26	40	0.32582	105.56586	15.76
27	40	0.32582	105.56308	15.97
28	40	0.32582	105.56030	16.06
29	40	0.32582	105.55753	15.99
30	40	0.32582	105.55475	15.90
31	40	0.32582	105.55197	15.71
32	40	0.32582	105.54919	15.57
33	40	0.32582	105.54642	15.50
34	40	0.32582	105.54364	15.41
35	40	0.32582	105.54086	15.27
36	40	0.32582	105.53808	14.94
37	40	0.32582	105.53530	14.75
38	40	0.32582	105.53253	14.53
39	40	0.32582	105.52975	14.26
40	40	0.32582	105.52697	14.16
41	40	0.32582	105.52419	14.17
42	40	0.32582	105.52141	14.15
43	40	0.32582	105.51864	14.17
44	40	0.32582	105.51586	14.30
45	40	0.32582	105.51308	14.45
46	40	0.32582	105.51030	14.65
47	40	0.32582	105.50753	14.81
48	40	0.32582	105.50475	14.89
49	40	0.32582	105.50197	14.93
0	41	0.32859	105.63808	20.46
1	41	0.32859	105.63531	21.25
2	41	0.32859	105.63253	21.87
3	41	0.32859	105.62975	22.90
4	41	0.32859	105.62697	22.70
5	41	0.32859	105.62419	21.62
6	41	0.32859	105.62142	20.69
7	41	0.32859	105.61864	19.95
8	41	0.32859	105.61586	19.58
9	41	0.32859	105.61308	19.23
10	41	0.32859	105.61031	18.70
11	41	0.32859	105.60753	18.35
12	41	0.32859	105.60475	18.19
13	41	0.32859	105.60197	17.90
14	41	0.32859	105.59919	17.57
15	41	0.32859	105.59642	17.33
16	41	0.32859	105.59364	17.14
17	41	0.32859	105.59086	16.98
18	41	0.32859	105.58808	16.79
19	41	0.32859	105.58530	16.47
20	41	0.32859	105.58253	16.17
21	41	0.32859	105.57975	15.97
22	41	0.32859	105.57697	15.90
23	41	0.32859	105.57419	15.75
24	41	0.32859	105.57142	15.56
25	41	0.32859	105.56864	15.55
26	41	0.32859	105.56586	15.62
27	41	0.32859	105.56308	15.81
28	41	0.32859	105.56030	15.94
29	41	0.32859	105.55753	15.82
30	41	0.32859	105.55475	15.76
31	41	0.32859	105.55197	15.63
32	41	0.32859	105.54919	15.42
33	41	0.32859	105.54642	15.30
34	41	0.32859	105.54364	15.22
35	41	0.32859	105.54086	15.14
36	41	0.32859	105.53808	14.85
37	41	0.32859	105.53530	14.67
38	41	0.32859	105.53253	14.57
39	41	0.32859	105.52975	14.30
40	41	0.32859	105.52697	14.09
41	41	0.32859	105.52419	14.09
42	41	0.32859	105.52141	14.13
43	41	0.32859	105.51864	14.26
44	41	0.32859	105.51586	14.42
45	41	0.32859	105.51308	14.55
46	41	0.32859	105.51030	14.73
47	41	0.32859	105.50753	14.91
48	41	0.32859	105.50475	14.96
49	41	0.32859	105.50197	14.91
0	42	0.33137	105.63808	21.06
1	42	0.33137	105.63531	22.28
2	42	0.33137	105.63253	23.69
3	42	0.33137	105.62975	26.13
4	42	0.33137	105.62697	25.23
5	42	0.33137	105.62419	22.63
6	42	0.33137	105.62142	20.74
7	42	0.33137	105.61864	20.04
8	42	0.33137	105.61586	19.62
9	42	0.33137	105.61308	19.26
10	42	0.33137	105.61031	18.58
11	42	0.33137	105.60753	18.06
12	42	0.33137	105.60475	17.87
13	42	0.33137	105.60197	17.69
14	42	0.33137	105.59919	17.48
15	42	0.33137	105.59642	17.13
16	42	0.33137	105.59364	16.77
17	42	0.33137	105.59086	16.54
18	42	0.33137	105.58808	16.35
19	42	0.33137	105.58530	16.16
20	42	0.33137	105.58253	15.98
21	42	0.33137	105.57975	15.79
22	42	0.33137	105.57697	15.70
23	42	0.33137	105.57419	15.68
24	42	0.33137	105.57142	15.53
25	42	0.33137	105.56864	15.50
26	42	0.33137	105.56586	15.45
27	42	0.33137	105.56308	15.52
28	42	0.33137	105.56030	15.67
29	42	0.33137	105.55753	15.70
30	42	0.33137	105.55475	15.63
31	42	0.33137	105.55197	15.51
32	42	0.33137	105.54919	15.31
33	42	0.33137	105.54642	15.17
34	42	0.33137	105.54364	15.08
35	42	0.33137	105.54086	14.93
36	42	0.33137	105.53808	14.80
37	42	0.33137	105.53530	14.54
38	42	0.33137	105.53253	14.41
39	42	0.33137	105.52975	14.28
40	42	0.33137	105.52697	14.15
41	42	0.33137	105.52419	14.14
42	42	0.33137	105.52141	14.23
